business,title,where,when,apply,remote,requisits,requisits_compleixes,requisits_no_compleixes,numero_requisits,numero_requisits_compleixes,numero_requisits_no_compleixes
Orain,Data Engineer,"Barcelona, Cataluña, España",hace 4 días,75 solicitudes,Híbrido,['Ingeniería de datos'],['Ingeniería de datos'],[],1.0,1.0,0.0
Microsoft,Data Annotation Specialist,"Región de Murcia, España",hace 2 semanas,10 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
Stealth Startup,Chemist,"Barcelona, Cataluña, España",hace 1 semana,Más de 100 solicitudes,En remoto,"['Química', 'Resolución de problemas', 'Desarrollo de productos\nAñadir', 'Diseño de productos\nAñadir', 'Estrategias de producto\nAñadir', 'Formulation Chemistry\nAñadir', 'Gestión de productos\nAñadir', 'Para empresas (B2B)\nAñadir', 'Planes de desarrollo de productos\nAñadir', 'Startup\nAñadir', 'Visión de producto\nAñadir']","['Química', 'Resolución de problemas']","['Desarrollo de productos\nAñadir', 'Diseño de productos\nAñadir', 'Estrategias de producto\nAñadir', 'Formulation Chemistry\nAñadir', 'Gestión de productos\nAñadir', 'Para empresas (B2B)\nAñadir', 'Planes de desarrollo de productos\nAñadir', 'Startup\nAñadir', 'Visión de producto\nAñadir']",11.0,2.0,9.0
T-Systems Iberia,Data Scientist @ Deutsche Telekom,"Granada, Andalucía, España",hace 3 días,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Capacidad de análisis', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Python', 'Visualización de datos']","['Analítica de datos', 'Análisis de datos estadísticos', 'Análisis predictivo', 'Aprendizaje profundo', 'Capacidad de análisis', 'Ciencia de datos', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Python', 'Visualización de datos']",[],10.0,10.0,0.0
GfK - An NIQ Company,Proceso de Datos / Estadistica,Madrid y alrededores,hace 1 mes,Más de 100 solicitudes,Híbrido,"['Base de datos relacional', 'Estadística', 'Inglés', 'Modelos estadísticos', 'Bases de datos\nAñadir', 'Bioestadística\nAñadir', 'Procesamiento de datos\nAñadir', 'Recogida de datos\nAñadir', 'SPSS\nAñadir', 'Trabajo en equipo\nAñadir']","['Base de datos relacional', 'Estadística', 'Inglés', 'Modelos estadísticos']","['Bases de datos\nAñadir', 'Bioestadística\nAñadir', 'Procesamiento de datos\nAñadir', 'Recogida de datos\nAñadir', 'SPSS\nAñadir', 'Trabajo en equipo\nAñadir']",10.0,4.0,6.0
QUANT AI Lab,Data Scientist MidSenior,España,Publicado de nuevo hace 4 días,Más de 100 solicitudes,En remoto,"['Análisis de datos', 'Ciencia de datos', 'Inteligencia artificial', 'Python', 'SQL', 'Computación en la nube\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'MLOps\nAñadir', 'Microsoft Azure\nAñadir', 'PySpark\nAñadir']","['Análisis de datos', 'Ciencia de datos', 'Inteligencia artificial', 'Python', 'SQL']","['Computación en la nube\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'MLOps\nAñadir', 'Microsoft Azure\nAñadir', 'PySpark\nAñadir']",10.0,5.0,5.0
Microsoft,Data Annotation Specialist,"Islas Baleares, España",hace 2 semanas,44 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
MICROPOLE | Spain,Machine Learning Engineer,España,hace 4 semanas,Más de 100 solicitudes,En remoto,"['Aprendizaje automático', 'Inteligencia artificial', 'Python', 'Google Cloud\nAñadir', 'Microsoft Azure\nAñadir']","['Aprendizaje automático', 'Inteligencia artificial', 'Python']","['Google Cloud\nAñadir', 'Microsoft Azure\nAñadir']",5.0,3.0,2.0
Akkodis,Data Scientist,"Madrid, Comunidad de Madrid, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Algoritmos', 'Algoritmos de aprendizaje automático', 'Ciencia de datos', 'Git', 'Ingeniería de datos', 'Python', 'PySpark\nAñadir']","['Algoritmos', 'Algoritmos de aprendizaje automático', 'Ciencia de datos', 'Git', 'Ingeniería de datos', 'Python']",['PySpark\nAñadir'],7.0,6.0,1.0
La Salle BCN,Research Scientist,"Barcelona, Cataluña, España",hace 3 semanas,Más de 100 solicitudes,Jornada completa,"['Comunicación', 'Ingeniería', 'Ingeniería informática', 'Internet de las cosas', 'Investigación y desarrollo (I+D)', 'Edge Computing\nAñadir', 'Planificación\nAñadir', 'Programación de red\nAñadir', 'Proyectos de investigación\nAñadir']","['Comunicación', 'Ingeniería', 'Ingeniería informática', 'Internet de las cosas', 'Investigación y desarrollo (I+D)']","['Edge Computing\nAñadir', 'Planificación\nAñadir', 'Programación de red\nAñadir', 'Proyectos de investigación\nAñadir']",9.0,5.0,4.0
K2 Partnering Solutions,Data Scientist - GenAI & LLMs,España,hace 2 semanas,Más de 100 solicitudes,En remoto,"['Ciencia de datos', 'IA generativa\nAñadir']",['Ciencia de datos'],['IA generativa\nAñadir'],2.0,1.0,1.0
DESIGUAL,Data Scientist,"Barcelona, Cataluña, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Comunicación', 'Estadística', 'Matemáticas', 'Modelos estadísticos', 'Procesamiento de lenguaje natural', 'Amplitud de miras\nAñadir', 'Desarrollo de modelos\nAñadir', 'Modelos predictivos\nAñadir', 'Preparación de datos\nAñadir', 'Soluciones analíticas\nAñadir']","['Comunicación', 'Estadística', 'Matemáticas', 'Modelos estadísticos', 'Procesamiento de lenguaje natural']","['Amplitud de miras\nAñadir', 'Desarrollo de modelos\nAñadir', 'Modelos predictivos\nAñadir', 'Preparación de datos\nAñadir', 'Soluciones analíticas\nAñadir']",10.0,5.0,5.0
MA (Montreal Associates),(CSV) Junior 35K Barcelona,"Barcelona, Cataluña, España",hace 1 semana,49 solicitudes,Híbrido,"['Aseguramiento de la calidad\nAñadir', 'Buenas prácticas (GxP)\nAñadir', 'Buenas prácticas de fabricación\nAñadir', 'Buenas prácticas de fabricación automatizada (GAMP)\nAñadir', 'EBR\nAñadir', 'ERP de Infor\nAñadir', 'Manufacturing Execution System\nAñadir', 'Planificación de recursos empresariales (ERP)\nAñadir', 'Sistema de gestión de información de laboratorio (LIMS)\nAñadir', 'Validación del sistemas informáticos (CSV)\nAñadir']",[],"['Aseguramiento de la calidad\nAñadir', 'Buenas prácticas (GxP)\nAñadir', 'Buenas prácticas de fabricación\nAñadir', 'Buenas prácticas de fabricación automatizada (GAMP)\nAñadir', 'EBR\nAñadir', 'ERP de Infor\nAñadir', 'Manufacturing Execution System\nAñadir', 'Planificación de recursos empresariales (ERP)\nAñadir', 'Sistema de gestión de información de laboratorio (LIMS)\nAñadir', 'Validación del sistemas informáticos (CSV)\nAñadir']",10.0,0.0,10.0
Quental,💻 Ingeniero/a Junior Python y R. Remoto 100%,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['Algoritmos de aprendizaje automático', 'Python', 'R (Lenguaje de programación)', 'SQL', 'Procesamiento de datos\nAñadir']","['Algoritmos de aprendizaje automático', 'Python', 'R (Lenguaje de programación)', 'SQL']",['Procesamiento de datos\nAñadir'],5.0,4.0,1.0
Capitole,Data Scientist,"Alicante, Comunidad Valenciana / Comunitat Valenciana, España",hace 1 semana,Más de 100 solicitudes,Híbrido,"['Análisis predictivo', 'Ciencia de datos', 'Ciencias de la computación', 'Inteligencia artificial', 'Procesamiento de lenguaje natural', 'Análisis de series temporales\nAñadir', 'Datasets\nAñadir', 'Modelado de datos\nAñadir', 'Optimización\nAñadir', 'Procesamiento de datos\nAñadir']","['Análisis predictivo', 'Ciencia de datos', 'Ciencias de la computación', 'Inteligencia artificial', 'Procesamiento de lenguaje natural']","['Análisis de series temporales\nAñadir', 'Datasets\nAñadir', 'Modelado de datos\nAñadir', 'Optimización\nAñadir', 'Procesamiento de datos\nAñadir']",10.0,5.0,5.0
Microsoft,Data Annotation Specialist,"Comunidad de Madrid, España",hace 2 semanas,38 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
Microsoft,Data Annotation Specialist,"Cantabria, Autonomía de Cantabria, España",hace 2 semanas,16 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
Microsoft,Data Annotation Specialist,"Galicia / Galiza, España",hace 2 semanas,9 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
Recodme,Data Engineer,España,hace 3 semanas,Más de 100 solicitudes,En remoto,"['Análisis de datos estadísticos', 'Ingeniería de datos', 'Inglés', 'AWS Lambda\nAñadir', 'Almacenamiento\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Data Warehouse Appliances\nAñadir', 'Gobierno de datos\nAñadir', 'Modelado de datos\nAñadir']","['Análisis de datos estadísticos', 'Ingeniería de datos', 'Inglés']","['AWS Lambda\nAñadir', 'Almacenamiento\nAñadir', 'Amazon Web Services (AWS)\nAñadir', 'Data Warehouse Appliances\nAñadir', 'Gobierno de datos\nAñadir', 'Modelado de datos\nAñadir']",9.0,3.0,6.0
CHEP,Data Scientist,"Madrid, Comunidad de Madrid, España",hace 1 semana,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Análisis predictivo', 'C++', 'Capacidad de análisis', 'Ciencia de datos', 'Comunicación', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Programación en C', 'Regresión logística\nAñadir']","['Analítica de datos', 'Análisis predictivo', 'C++', 'Capacidad de análisis', 'Ciencia de datos', 'Comunicación', 'Ingeniería de datos', 'Procesamiento de lenguaje natural', 'Programación en C']",['Regresión logística\nAñadir'],10.0,9.0,1.0
Grifols,TRAINEE MASTER DATA,"Parets del Vallès, Cataluña, España",hace 1 semana,29 solicitudes,Jornada completa,"['Análisis de datos', 'Big data', 'Capacidad de análisis', 'Visualización de datos', 'Bases de datos\nAñadir', 'Datos maestros\nAñadir', 'Estándares de contabilidad\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'FP\nAñadir', 'Modelado de datos\nAñadir']","['Análisis de datos', 'Big data', 'Capacidad de análisis', 'Visualización de datos']","['Bases de datos\nAñadir', 'Datos maestros\nAñadir', 'Estándares de contabilidad\nAñadir', 'Extraer, transformar y cargar (ETL)\nAñadir', 'FP\nAñadir', 'Modelado de datos\nAñadir']",10.0,4.0,6.0
Microsoft,Data Annotation Specialist,Castellón y alrededores,hace 2 semanas,17 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés']","['Anotación\nAñadir', 'Anotación de datos\nAñadir', 'Control de calidad\nAñadir', 'Holandés\nAñadir', 'Idiomas europeos\nAñadir', 'Medical Scribing\nAñadir', 'Unión Europea\nAñadir']",10.0,3.0,7.0
Centro Nacional de Análisis Genómico (CNAG),Data Analyst - Single Cell Genomics Team,Barcelona y alrededores,hace 3 semanas,Más de 100 solicitudes,Híbrido,"['Python', 'Computational Genomics\nAñadir']",['Python'],['Computational Genomics\nAñadir'],2.0,1.0,1.0
Glovo,Data Intern (They/She/He),"Barcelona, Cataluña, España",hace 1 semana,Más de 100 solicitudes,Híbrido,"['Comunicación', 'Hojas de cálculo de Google', 'Inglés', 'Matemáticas', 'Resolución de problemas', 'Analítica\nAñadir', 'Comunicación escrita\nAñadir', 'Indicadores clave de desempeño\nAñadir', 'Root Cause\nAñadir', 'Streamlining\nAñadir']","['Comunicación', 'Hojas de cálculo de Google', 'Inglés', 'Matemáticas', 'Resolución de problemas']","['Analítica\nAñadir', 'Comunicación escrita\nAñadir', 'Indicadores clave de desempeño\nAñadir', 'Root Cause\nAñadir', 'Streamlining\nAñadir']",10.0,5.0,5.0
Malthus Darwin,Ingeniero de datos,España,hace 1 semana,Más de 100 solicitudes,En remoto,"['Apache Spark\nAñadir', 'Azure Databricks\nAñadir', 'Microsoft Azure\nAñadir', 'Scala\nAñadir']",[],"['Apache Spark\nAñadir', 'Azure Databricks\nAñadir', 'Microsoft Azure\nAñadir', 'Scala\nAñadir']",4.0,0.0,4.0
AstraZeneca,Register your interest for a Statistical Programmer role,"Barcelona, Cataluña, España",Publicado de nuevo hace 1 día,Más de 100 solicitudes,Jornada completa,"['Habilidades sociales', 'Programación estadística', 'SAS', 'Buena práctica clínica\nAñadir', 'Estándares CDISC\nAñadir', 'Estándares de datos\nAñadir', 'Oracle Clinical\nAñadir', 'Presentaciones regulatorias\nAñadir', 'Programación SAS\nAñadir', 'SDTM\nAñadir']","['Habilidades sociales', 'Programación estadística', 'SAS']","['Buena práctica clínica\nAñadir', 'Estándares CDISC\nAñadir', 'Estándares de datos\nAñadir', 'Oracle Clinical\nAñadir', 'Presentaciones regulatorias\nAñadir', 'Programación SAS\nAñadir', 'SDTM\nAñadir']",10.0,3.0,7.0
Volotea,Data Scientist,"Barcelona, Cataluña, España",hace 4 días,Más de 100 solicitudes,Híbrido,"['Ciencia de datos', 'Minería de datos', 'Python', 'SQL', 'Análisis cuantitativo\nAñadir', 'Modelado de datos\nAñadir', 'Prediction\nAñadir']","['Ciencia de datos', 'Minería de datos', 'Python', 'SQL']","['Análisis cuantitativo\nAñadir', 'Modelado de datos\nAñadir', 'Prediction\nAñadir']",7.0,4.0,3.0
Mind Money Ltd.,Trader,España,hace 1 mes,Más de 100 solicitudes,En remoto,"['Análisis de datos', 'Comunicación', 'Análisis de mercados\nAñadir', 'Análisis financiero\nAñadir', 'Análisis técnico\nAñadir', 'Compraventa\nAñadir', 'Estrategias de inversión bursátil\nAñadir', 'Finanzas\nAñadir', 'Gestión de riesgos\nAñadir', 'Trading Software\nAñadir']","['Análisis de datos', 'Comunicación']","['Análisis de mercados\nAñadir', 'Análisis financiero\nAñadir', 'Análisis técnico\nAñadir', 'Compraventa\nAñadir', 'Estrategias de inversión bursátil\nAñadir', 'Finanzas\nAñadir', 'Gestión de riesgos\nAñadir', 'Trading Software\nAñadir']",10.0,2.0,8.0
Ayesa,Científico de datos,"Madrid, Comunidad de Madrid, España",hace 2 semanas,Más de 100 solicitudes,Híbrido,"['Python', 'Azure Data Lake\nAñadir', 'Azure Databricks\nAñadir', 'Capacidad de razonamiento\nAñadir', 'Capacitación técnica\nAñadir', 'Integración\nAñadir', 'PySpark\nAñadir', 'SQL de Azure\nAñadir']",['Python'],"['Azure Data Lake\nAñadir', 'Azure Databricks\nAñadir', 'Capacidad de razonamiento\nAñadir', 'Capacitación técnica\nAñadir', 'Integración\nAñadir', 'PySpark\nAñadir', 'SQL de Azure\nAñadir']",8.0,1.0,7.0
Plain Concepts,Data Scientist,España,Publicado de nuevo hace 4 semanas,Más de 100 solicitudes,En remoto,"['Ciencias de la computación', 'Procesamiento de lenguaje natural', 'Python', 'MLOps\nAñadir', 'Microsoft Azure\nAñadir', 'Modelado de datos\nAñadir', 'Programación neurolingüística (PNL)\nAñadir']","['Ciencias de la computación', 'Procesamiento de lenguaje natural', 'Python']","['MLOps\nAñadir', 'Microsoft Azure\nAñadir', 'Modelado de datos\nAñadir', 'Programación neurolingüística (PNL)\nAñadir']",7.0,3.0,4.0
K2 Partnering Solutions,Artificial Intelligence Researcher,España,hace 2 semanas,Más de 100 solicitudes,En remoto,"['Aprendizaje automático', 'Aprendizaje profundo', 'Inteligencia artificial', 'Redes neuronales', 'Visión por computador', 'Amazon Web Services (AWS)\nAñadir', 'Google Cloud\nAñadir', 'IA generativa\nAñadir', 'Investigación\nAñadir', 'Microsoft Azure\nAñadir']","['Aprendizaje automático', 'Aprendizaje profundo', 'Inteligencia artificial', 'Redes neuronales', 'Visión por computador']","['Amazon Web Services (AWS)\nAñadir', 'Google Cloud\nAñadir', 'IA generativa\nAñadir', 'Investigación\nAñadir', 'Microsoft Azure\nAñadir']",10.0,5.0,5.0
Deusto Formación,Especialista Python (H/M),"Madrid, Comunidad de Madrid, España",Publicado de nuevo hace 3 días,Más de 100 solicitudes,En remoto,"['Análisis de datos', 'Capacidad de análisis', 'Comunicación', 'Inglés', 'Liderazgo de equipos', 'Desarrollo de contenidos\nAñadir', 'Experiencia en el sector\nAñadir', 'Inspiration\nAñadir', 'Participative\nAñadir', 'Tutoriales\nAñadir']","['Análisis de datos', 'Capacidad de análisis', 'Comunicación', 'Inglés', 'Liderazgo de equipos']","['Desarrollo de contenidos\nAñadir', 'Experiencia en el sector\nAñadir', 'Inspiration\nAñadir', 'Participative\nAñadir', 'Tutoriales\nAñadir']",10.0,5.0,5.0
knowmad mood,DATA SCIENTIST COORDINATOR,España,hace 1 semana,Más de 100 solicitudes,En remoto,['Ciencia de datos'],['Ciencia de datos'],[],1.0,1.0,0.0
Avanade,Manager Artificial Intelligence,España,Publicado de nuevo hace 1 día,Más de 100 solicitudes,En remoto,"['Capacidad de análisis', 'Comunicación', 'Inglés', 'Inteligencia artificial', 'Liderazgo de equipos', 'Resolución de problemas', 'Liderazgo\nAñadir', 'Marketing\nAñadir', 'Negociación\nAñadir', 'Reflexión estratégica\nAñadir']","['Capacidad de análisis', 'Comunicación', 'Inglés', 'Inteligencia artificial', 'Liderazgo de equipos', 'Resolución de problemas']","['Liderazgo\nAñadir', 'Marketing\nAñadir', 'Negociación\nAñadir', 'Reflexión estratégica\nAñadir']",10.0,6.0,4.0
excelia,Data Scientist,"Madrid, Comunidad de Madrid, España",hace 1 día,64 solicitudes,Híbrido,"['Aprendizaje automático', 'Ingeniería', 'Python', 'Aprendizaje\nAñadir', 'MLOps\nAñadir']","['Aprendizaje automático', 'Ingeniería', 'Python']","['Aprendizaje\nAñadir', 'MLOps\nAñadir']",5.0,3.0,2.0
Manychat,AI Engineer (LLM),"Barcelona, Cataluña, España",Publicado de nuevo hace 1 día,Más de 100 solicitudes,Híbrido,"['Analítica de datos', 'Aprendizaje automático', 'Aprendizaje profundo', 'Inteligencia artificial', 'Matemáticas', 'Reconocimiento de patrones', 'Contraste de hipótesis\nAñadir', 'Large Language Models (LLM)\nAñadir', 'Procesamiento de datos\nAñadir', 'Transformador\nAñadir']","['Analítica de datos', 'Aprendizaje automático', 'Aprendizaje profundo', 'Inteligencia artificial', 'Matemáticas', 'Reconocimiento de patrones']","['Contraste de hipótesis\nAñadir', 'Large Language Models (LLM)\nAñadir', 'Procesamiento de datos\nAñadir', 'Transformador\nAñadir']",10.0,6.0,4.0
CYP Core,Junior Analyst,"Martorell, Cataluña, España",hace 3 semanas,Más de 100 solicitudes,Híbrido,"['C++', 'Inglés', 'Microsoft Power BI', 'Python', 'Resolución de problemas', 'SQL', 'Iniciativa\nAñadir', 'Microsoft Power Automate\nAñadir', 'Microsoft PowerApps\nAñadir', 'QlikView\nAñadir', 'Trabajo en equipo\nAñadir']","['C++', 'Inglés', 'Microsoft Power BI', 'Python', 'Resolución de problemas', 'SQL']","['Iniciativa\nAñadir', 'Microsoft Power Automate\nAñadir', 'Microsoft PowerApps\nAñadir', 'QlikView\nAñadir', 'Trabajo en equipo\nAñadir']",11.0,6.0,5.0
Scalian,Data Scientist,"Galicia / Galiza, España",hace 2 semanas,Más de 100 solicitudes,En remoto,"['Microsoft Power BI', 'PyTorch', 'Python', 'R (Lenguaje de programación)', 'SQL', 'Scikit-learn', 'TensorFlow', 'Azure Data Lake\nAñadir', 'Azure Databricks\nAñadir', 'Tableau\nAñadir']","['Microsoft Power BI', 'PyTorch', 'Python', 'R (Lenguaje de programación)', 'SQL', 'Scikit-learn', 'TensorFlow']","['Azure Data Lake\nAñadir', 'Azure Databricks\nAñadir', 'Tableau\nAñadir']",10.0,7.0,3.0
